=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 2733: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Minior(164/188)], P2=[Maractus(178/260)]
Seed 2741: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Mewtwo(266/286)], P2=[Swalot(151/288)]
Seed 2750: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Scizor(286/290)], P2=[Nacli(159/161)]
Seed 2762: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Carnivine(199/199)], P2=[Spiritomb(202/206)]
Seed 2769: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Privatyke(199/199)], P2=[Pyroak(335/335)]
Seed 2787: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Drifblim(178/330)], P2=[Golduck(226/247)]
Seed 2788: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Oricorio(285/293)], P2=[Salandit(225/243)]
Seed 2802: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Tapu Fini(299/299)], P2=[Petilil(164/164)]
Seed 2803: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Barraskewda(41/223)], P2=[Lucario(246/261)]
Seed 2807: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Clodsire(356/356)], P2=[Xerneas(349/349)]
Seed 2814: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Squawkabilly(294/294)], P2=[Revenankh(202/202)]
Seed 2819: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Rayquaza(295/295)], P2=[Rotom(195/229)]
Seed 2856: ✗ FAIL - #2: turn=3, prng=6->12, P1=[Tauros(139/173)], P2=[Toxel(164/230)]
Seed 2861: ✗ FAIL - #71: turn=68, prng=109->109, P1=[Hatenna(161/161)], P2=[Ting-Lu(46/361)]
Seed 2865: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Magearna(306/306)], P2=[Zeraora(193/193)]
Seed 2876: ✗ FAIL - #40: turn=36, prng=48->48, P1=[Vivillon(156/312)], P2=[Muk(357/357)]
Seed 2893: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Toedscruel(275/275)], P2=[Slugma(230/230)]
Seed 2894: ✗ FAIL - #28: turn=26, prng=86->87, P1=[Eelektross(57/193)], P2=[Hydreigon(118/235)]
Seed 2919: ✗ FAIL - #8: turn=8, prng=36->43, P1=[Cawmodore(127/161)], P2=[Wishiwashi(116/242)]
Seed 2926: ✗ FAIL - #26: turn=26, prng=36->40, P1=[Raticate(189/251)], P2=[Drifblim(0/425)]
Seed 2951: ✗ FAIL - #22: turn=21, prng=35->39, P1=[Solosis(164/164)], P2=[Garbodor(196/208)]
Seed 2956: ✗ FAIL - #1: turn=1, prng=0->5, P1=[Bellibolt(338/365)], P2=[Lucario(0/269)]
Seed 2975: ✗ FAIL - #20: turn=18, prng=76->79, P1=[Scrafty(11/283)], P2=[Slowbro(259/259)]
Seed 2981: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Woobat(286/286)], P2=[Slurpuff(315/316)]
Seed 2982: ✗ FAIL - #17: turn=15, prng=60->65, P1=[Sandslash(260/275)], P2=[Dhelmise(257/299)]
Seed 3000: ✗ FAIL - #4: turn=5, prng=12->16, P1=[Miraidon(266/266)], P2=[Charizard(66/225)]
Seed 3002: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Arboliva(222/222)], P2=[Alcremie(274/286)]
